分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 6, IPv6: 1, 最小延迟: 52 ms, 最高速率: 12.90 MiB/s, 平均速率: 8.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 56 ms, 最高速率: 14.73 MiB/s, 平均速率: 7.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 1, IPv4: 53, IPv6: 14, 最小延迟: 35 ms, 最高速率: 26.98 MiB/s, 平均速率: 1.88 MiB/s, 最高分辨率: 1280x720, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 有效: 3, IPv4: 6, IPv6: 5, 最小延迟: 52 ms, 最高速率: 8.79 MiB/s, 平均速率: 6.01 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 2, IPv4: 19, IPv6: 1, 最小延迟: 52 ms, 最高速率: 13.45 MiB/s, 平均速率: 7.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 52 ms, 最高速率: 13.18 MiB/s, 平均速率: 7.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 4, IPv4: 5, IPv6: 1, 最小延迟: 47 ms, 最高速率: 8.98 MiB/s, 平均速率: 6.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: 翡翠台, 有效: 5, IPv4: 0, IPv6: 5, 最小延迟: 37 ms, 最高速率: 18.15 MiB/s, 平均速率: 13.68 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 🌊港·澳·台, 名称: 明珠台, 有效: 3, IPv4: 2, IPv6: 5, 最小延迟: 49 ms, 最高速率: 13.13 MiB/s, 平均速率: 11.89 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: TVB Plus, 有效: 3, IPv4: 0, IPv6: 3, 最小延迟: 27 ms, 最高速率: 60.65 MiB/s, 平均速率: 31.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: TVB娛樂新聞台, 有效: 2, IPv4: 2, IPv6: 3, 最小延迟: 48 ms, 最高速率: 15.63 MiB/s, 平均速率: 13.96 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: 無綫新聞台, 有效: 3, IPv4: 2, IPv6: 5, 最小延迟: 26 ms, 最高速率: 18.38 MiB/s, 平均速率: 11.61 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: TVB1, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: 78 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: TVB J1, 有效: 0, IPv4: 0, IPv6: 2, 最小延迟: 73 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: TVB J2, 有效: 0, IPv4: 1, IPv6: 1, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: 華麗翡翠台, 有效: 2, IPv4: 0, IPv6: 3, 最小延迟: 28 ms, 最高速率: 84.00 MiB/s, 平均速率: 49.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: TVB亞洲武俠, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 79 ms, 最高速率: 7.99 MiB/s, 平均速率: 7.99 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: TVB經典台, 有效: 1, IPv4: 16, IPv6: 9, 最小延迟: 48 ms, 最高速率: 18.71 MiB/s, 平均速率: 18.71 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 50.0, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: TVB星河, 有效: 3, IPv4: 0, IPv6: 4, 最小延迟: 26 ms, 最高速率: 86.30 MiB/s, 平均速率: 43.04 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 50.0, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: TVB黃金翡翠台, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港·澳·台, 名称: Viutv, 有效: 5, IPv4: 0, IPv6: 6, 最小延迟: 47 ms, 最高速率: 29.90 MiB/s, 平均速率: 13.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
